id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
"1","pass","약국 찾기/영업시간","blog","문제해결형","내 주변 약국","영업시간|전화 확인|헛걸음 방지","내 주변 약국 찾기 전 확인할 영업시간 기준","96","pass","pass","33","공휴일 약국 찾기 5단계 체크리스트","영업시간과 전화 확인 순서; 급하게 약국을 찾는 사용자 대상"
"2","pass","약국 찾기/영업시간","blog","체크리스트형","야간 약국","반경 검색|위치|종료 임박","야간 약국 검색 시 반경을 넓히는 순서","96","pass","pass","33","야간 약국 안전하게 방문하는 요령","2km에서 10km까지 확장 기준; 퇴근 후 약국을 찾는 직장인 대상"
"3","pass","약국 찾기/영업시간","blog","문제해결형","주말 약국","전화 확인|재고|방문 전","주말 약국 찾기에서 놓치기 쉬운 전화 확인","96","pass","pass","29","약국 전화 연결이 안 될 때 대안 찾기","전화로 영업과 재고를 확인하는 문장; 주말에 상비약이 필요한 가정 대상"
"4","pass","약국 찾기/영업시간","blog","비교형","공휴일 약국","지도|목록|길찾기","공휴일 약국 이용 전 지도와 목록 비교 기준","96","pass","pass","29","임산부가 약국 이용 시 유의사항 | 약국오늘","지도 검색과 목록 검색 차이; 공휴일에 가까운 약국을 찾는 사용자 대상"
"5","pass","약국 찾기/영업시간","blog","정보형","24시간 약국","실제 영업|전화|야간","24시간 약국 찾을 때 실제 영업 확인하는 법","96","pass","pass","33","장시간 영업 약국(24시) 빠르게 찾는 법","표시 정보와 실제 운영 차이; 심야 시간대 방문자 대상"
"6","pass","약국 찾기/영업시간","blog","체크리스트형","휴일지킴이약국","검색 후 확인|전화|영업시간","휴일지킴이약국 검색 후 바로 확인할 항목","96","pass","pass","20","어린이 해열제 구비 시 확인할 포인트","검색 결과 이후 행동; 공공 검색을 이용하는 사용자 대상"
"7","pass","약국 찾기/영업시간","blog","비교형","일요일 약국","거리|영업 종료|재고","일요일 약국 찾기에서 가까움보다 중요한 기준","96","pass","pass","17","임산부가 약국 이용 시 유의사항 | 약국오늘","거리보다 도착 가능성 우선; 일요일 약국 방문자 대상"
"8","pass","약국 찾기/영업시간","blog","문제해결형","새벽 약국","증상|복용약|상담","새벽 약국 문의 전 준비할 증상·복용 정보","96","pass","pass","29","공공데이터 기반 약국 정보 신뢰도 살펴보기","전화 상담 전 준비 정보; 새벽에 가족 약을 찾는 보호자 대상"
"9","pass","약국 찾기/영업시간","blog","정보형","근처 약국","길찾기|도착 시간|종료 임박","근처 약국 길찾기 전 도착 시간을 계산하는 법","96","pass","pass","50","길찾기 앱으로 약국 도착 시간 계산하기","도착 가능성과 영업 종료 비교; 지도 앱으로 이동하는 사용자 대상"
"10","pass","약국 찾기/영업시간","blog","비교형","동네 약국","대형 약국|상담|재고","동네 약국 선택 시 대형 약국과 비교할 점","96","pass","pass","17","임산부가 약국 이용 시 유의사항 | 약국오늘","접근성과 상담 차이; 처음 방문 약국을 고르는 사용자 대상"
