id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
"1","pass","약국 상담 준비","blog","체크리스트형","약국 상담 메모","증상|복용약|알레르기","약국 상담 메모 작성법: 증상·복용약·알레르기","99","pass","pass","43","휴가철 약국 방문 전 챙길 증상 메모","상담 전 메모로 상담 시간을 줄이는 방법; 상담 전 정보를 정리하려는 사용자 대상"
"2","pass","약국 상담 준비","blog","문제해결형","약국 방문 전","증상 설명|시간|상담","약국 방문 전 증상 설명을 짧게 정리하는 법","99","pass","pass","50","휴가철 약국 방문 전 챙길 증상 메모","증상을 한 문장으로 말하는 기준; 처음 약국 상담을 받는 사용자 대상"
"3","pass","약국 상담 준비","blog","정보형","약사 복용약 상담","복용약|개인정보|상담","약사에게 복용약을 보여줄 때 가릴 정보와 남길 정보","99","pass","pass","14","새벽 약국 문의 전 준비할 증상·복용 정보","약 봉투와 사진을 안전하게 활용하는 법; 처방약을 함께 복용 중인 사용자 대상"
"4","pass","약국 상담 준비","blog","FAQ형","약국 대체품","제품 정보|성분|재고","약국에서 대체품을 물어볼 때 필요한 제품 정보","99","pass","pass","33","소화불량·과음 후 약국에서 물어볼 것 | 약국오늘","제품명 대신 성분과 용도를 말하는 법; 찾는 제품이 없는 사용자 대상"
"5","pass","약국 상담 준비","blog","체크리스트형","약국 상담 질문","급한 증상|복용 주의|질문 순서","약국 상담 질문 순서: 급한 증상부터 복용 주의까지","99","pass","pass","38","숙취 약국 상담 전 증상별로 나누는 질문","질문 우선순위; 상담 내용을 놓치기 쉬운 사용자 대상"
"6","pass","약국 상담 준비","blog","문제해결형","약국 통화","30초|핵심 정보|영업 확인","약국 통화 전 30초 안에 말할 핵심 정보","99","pass","pass","29","새벽 약국 문의 전 준비할 증상·복용 정보","짧은 통화 스크립트; 전화 확인을 빨리 해야 하는 사용자 대상"
"7","pass","약국 상담 준비","blog","FAQ형","병원 진료 필요성","약국|위험 신호|표현","약국에서 병원 진료 필요성을 물어보는 표현","99","pass","pass","33","병원 닫은 뒤 약국에서 먼저 물어볼 질문","진료 권고를 묻는 질문; 약국과 병원 사이에서 고민하는 사용자 대상"
"8","pass","약국 상담 준비","blog","정보형","약국 첫 방문","생활 정보|복용 시간|상담","약국 첫 방문자가 약사에게 말하면 좋은 생활 정보","99","pass","pass","29","새벽 약국 문의 전 준비할 증상·복용 정보","생활 패턴 기반 상담; 새 약국을 이용하는 사용자 대상"
"9","pass","약국 상담 준비","blog","FAQ형","복용법 확인","약국 상담 후|복용 간격|주의","약국 상담 후 복용법을 다시 확인하는 질문","99","pass","pass","50","숙취 약국 상담 전 증상별로 나누는 질문","상담 후 확인 질문; 상담 내용을 다시 확인하는 사용자 대상"
"10","pass","약국 상담 준비","blog","체크리스트형","가족 약","대리 구매|나이|복용약","약국에서 가족 약을 대신 살 때 준비할 정보","99","pass","pass","33","해외여행 전 약국에서 준비할 상비약 기준","대상자 정보 준비; 가족 약을 대신 사는 보호자 대상"
"11","pass","복약 안전","blog","체크리스트형","복용약 목록","처방약|일반약|영양제","복용 중인 약 목록 만드는 법: 처방약·일반약·영양제","99","pass","pass","14","공휴일 약국 이용 전 지도와 목록 비교 기준","복용 목록 통합; 여러 약을 함께 먹는 사용자 대상"
"12","pass","복약 안전","blog","정보형","약 성분표","주성분|함량|주의문구","약 성분표 보는 법: 주성분·함량·주의문구","99","pass","pass","17","이사 후 단골 약국을 고를 때 보는 기준","성분표 읽기; 성분 확인이 필요한 사용자 대상"
"13","pass","복약 안전","blog","정보형","약 설명서","주의사항|복용법|보관","약 설명서에서 먼저 읽을 세 줄: 효능보다 주의사항","99","pass","pass","20","반려가족과 외출 전 사람 약 보관 주의사항","설명서 우선순위; 설명서가 어려운 사용자 대상"
"14","pass","복약 안전","blog","체크리스트형","약 복용 시간표","아침|저녁|취침 전","약 복용 시간표 만들기: 아침·점심·저녁·취침 전","99","pass","pass","14","새벽 약국 문의 전 준비할 증상·복용 정보","시간표 작성; 복용 시간이 헷갈리는 사용자 대상"
"15","pass","복약 안전","blog","문제해결형","약 졸림","운전|근무|복용 주의","약 먹고 졸릴 때 운전·근무 전 확인할 점","99","pass","pass","33","장거리 운전 전 약국에서 확인할 졸림 주의","생활 안전; 졸림이 걱정되는 사용자 대상"
"16","pass","복약 안전","blog","정보형","약과 술","음주|간|상담","약과 술을 같이 피해야 하는 이유를 확인하는 법","99","pass","pass","14","24시간 약국 찾을 때 실제 영업 확인하는 법","음주 주의; 회식 전 복용약이 있는 사용자 대상"
"17","pass","복약 안전","blog","문제해결형","복용 누락","기록|다음 복용|상담","약 복용 누락 기록법: 건너뛰기 전 확인할 기준","99","pass","pass","33","내 주변 약국 찾기 전 확인할 영업시간 기준","누락 대응; 약 복용을 놓친 사용자 대상"
"18","pass","복약 안전","blog","체크리스트형","약 부작용 메모","증상|시간|복용량","약 부작용 메모 양식: 증상·시간·복용량","99","pass","pass","33","휴가철 약국 방문 전 챙길 증상 메모","상담용 기록; 이상 증상을 기록하려는 사용자 대상"
"19","pass","복약 안전","blog","정보형","약 봉투 정리","날짜|복용 시간|가족","약 봉투 여러 개를 날짜별로 정리하는 방법","99","pass","pass","17","부모님 약 봉투 정리 전 확인할 복용 시간","약 봉투 정리; 가족 약을 관리하는 사용자 대상"
"20","pass","복약 안전","blog","문제해결형","약 이름","비슷한 이름|제품 확인|성분","약 이름이 비슷할 때 제품을 착각하지 않는 법","99","pass","pass","14","같은 성분 약을 중복 복용하지 않는 확인법","제품 착각 방지; 제품명이 헷갈리는 사용자 대상"
"21","pass","가정 약 관리","blog","체크리스트형","상비약 보관","습기|직사광선|아이 안전","상비약 보관 온도 기준: 습기·직사광선·아이 안전","99","pass","pass","25","해외여행 전 약국에서 준비할 상비약 기준","보관 환경; 가정 상비약을 관리하는 사용자 대상"
"22","pass","가정 약 관리","blog","정보형","폐의약품","약국 수거|분리|보관","폐의약품 버리기 전 확인할 약국 수거 기준","99","pass","pass","50","내 주변 약국 찾기 전 확인할 영업시간 기준","폐기 기준; 오래된 약을 정리하는 사용자 대상"
"23","pass","가정 약 관리","blog","체크리스트형","약장 정리","유효기간|포장 상태|매달","약장 정리 루틴: 매달 확인할 유효기간과 포장 상태","99","pass","pass","25","상처 밴드와 소독제 선택 전 확인할 상처 상태","월간 점검; 약장을 정리하는 가정 대상"
"24","pass","가정 약 관리","blog","문제해결형","아이 약 보관","보관 위치|잠금|오남용","아이 있는 집 약 보관 위치를 정하는 기준","99","pass","pass","17","내 주변 약국 찾기 전 확인할 영업시간 기준","안전 위치; 아이 있는 가정 대상"
"25","pass","가정 약 관리","blog","FAQ형","냉장 보관 약","실온|보관|약국 문의","냉장 보관 약을 실온에 뒀을 때 확인할 점","99","pass","pass","33","약을 깜빡했을 때 다음 복용 전 확인할 원칙","보관 이탈 대처; 보관 실수가 걱정되는 사용자 대상"
"26","pass","가정 약 관리","blog","체크리스트형","시럽약 보관","개봉일|용량|보관","개봉한 시럽약 보관 전 적어둘 날짜와 용량","99","pass","pass","17","반려가족과 외출 전 사람 약 보관 주의사항","개봉 후 관리; 아이 시럽약을 관리하는 보호자 대상"
"27","pass","가정 약 관리","blog","FAQ형","남은 약 보관","여행|유효기간|상태","여행 후 남은 약을 다시 보관해도 되는지 확인법","99","pass","pass","29","여행 중 약국 찾기 전 숙소 주변 확인법","남은 약 판단; 여행 후 약을 정리하는 사용자 대상"
"28","pass","가정 약 관리","blog","정보형","가족 약 보관함","이름표|시간표|주의약","가족별 약 보관함 나누기: 이름표·시간표·주의약","99","pass","pass","17","응급약 보관함 정리 전 유효기간 확인 순서","가족별 분리; 가족 약을 함께 관리하는 사용자 대상"
"29","pass","가정 약 관리","blog","정보형","차 안 약 보관","고온|변질|대체 보관","차 안에 약을 두면 안 되는 이유와 대체 보관법","99","pass","pass","14","같은 성분 약을 중복 복용하지 않는 확인법","차량 보관 위험; 차량에 약을 두는 사용자 대상"
"30","pass","가정 약 관리","blog","비교형","비상약 파우치","넣을 약|뺄 약|상담","비상약 파우치 만들 때 빼야 할 약과 넣을 약","99","pass","pass","0","소화불량·과음 후 약국에서 물어볼 것 | 약국오늘","휴대 품목 구분; 외출용 비상약을 준비하는 사용자 대상"
"31","pass","근처 약국 활용","blog","비교형","근처 약국 후보","거리|통화|도착 시간","근처 약국 후보 3곳을 빠르게 비교하는 기준","99","pass","pass","29","내 주변 약국 찾기 전 확인할 영업시간 기준","후보 비교; 검색 결과를 고르는 사용자 대상"
"32","pass","근처 약국 활용","blog","정보형","약국 지도 검색","핀 위치|입구|건물","약국 지도 검색에서 핀 위치와 실제 입구 확인법","99","pass","pass","29","24시간 약국 찾을 때 실제 영업 확인하는 법","지도 오차 줄이기; 지도 앱을 쓰는 사용자 대상"
"33","pass","근처 약국 활용","blog","체크리스트형","약국 전화 버튼","이름|주소|전화","약국 전화 버튼 누르기 전 확인할 이름과 주소","99","pass","pass","29","내 주변 약국 찾기 전 확인할 영업시간 기준","오전화 방지; 모바일 검색 사용자 대상"
"34","pass","근처 약국 활용","blog","문제해결형","약국 길찾기","경로 변경|대체 후보|도착 시간","약국 길찾기 중 경로가 바뀔 때 대체 후보 찾기","99","pass","pass","29","심야 약국 찾기 체크리스트: 헛걸음 방지 | 약국오늘","이동 중 대안; 이동 중인 사용자 대상"
"35","pass","근처 약국 활용","blog","문제해결형","같은 이름 약국","주소|전화번호|지점","약국 목록에서 같은 이름 약국을 구분하는 법","99","pass","pass","17","임산부가 약국 이용 시 유의사항 | 약국오늘","동명이점 구분; 검색 결과가 헷갈리는 사용자 대상"
"36","pass","근처 약국 활용","blog","비교형","주변 약국","상담 목적|재고|접근성","주변 약국이 많을 때 상담 목적별로 고르는 법","99","pass","pass","17","내 주변 약국 찾기 전 확인할 영업시간 기준","목적별 선택; 도심 지역 사용자 대상"
"37","pass","근처 약국 활용","blog","문제해결형","약국 영업 종료","20분 전|도착 시간|전화","약국 영업 종료 20분 전 방문 판단 기준","99","pass","pass","29","처방전 준비와 약국 방문 전 점검 7가지 | 약국오늘","도착 가능성 판단; 종료 임박 방문자 대상"
"38","pass","근처 약국 활용","blog","체크리스트형","약국 휴무일","정보 없음|전화|대체","약국 휴무일 정보가 없을 때 확인할 우선순위","99","pass","pass","33","내 주변 약국 찾기 전 확인할 영업시간 기준","휴무 확인; 휴무 정보가 없는 사용자 대상"
"39","pass","근처 약국 활용","blog","정보형","약국 리뷰","영업 확인|방문 목적|상담","약국 리뷰보다 영업 확인을 먼저 봐야 하는 이유","99","pass","pass","25","24시간 약국 찾을 때 실제 영업 확인하는 법","리뷰와 영업 정보 구분; 리뷰를 참고하는 사용자 대상"
"40","pass","근처 약국 활용","blog","체크리스트형","약국 검색 결과 저장","전화번호|주소|영업시간","약국 검색 결과 저장해둘 때 필요한 세 가지","99","pass","pass","33","야간 약국 검색 시 반경을 넓히는 순서","저장 항목; 자주 방문 후보를 저장하는 사용자 대상"
"41","pass","증상 기록","blog","체크리스트형","기침 증상 메모","시간대|가래|열","기침 증상 메모법: 시간대·가래·열 동반 여부","99","pass","pass","14","새벽 약국 문의 전 준비할 증상·복용 정보","증상 기록; 기침 상담을 준비하는 사용자 대상"
"42","pass","증상 기록","blog","체크리스트형","두통 상담","위치|강도|반복","두통 상담 전 적어둘 위치·강도·반복 패턴","99","pass","pass","29","두통약 상담 전 통증 위치와 반복 여부 정리","두통 패턴; 두통으로 약국을 찾는 사용자 대상"
"43","pass","증상 기록","blog","정보형","복통 증상","위치|식사|설사","복통 증상 설명법: 위치·식사·설사 여부","99","pass","pass","14","새벽 약국 문의 전 준비할 증상·복용 정보","복통 정보; 복통으로 상담하는 사용자 대상"
"44","pass","증상 기록","blog","정보형","피부 발진 사진","사진|부위|기간","피부 발진 사진을 약국 상담에 활용하는 기준","99","pass","pass","43","피부 가려움 약국 상담 전 발진 모양 확인","사진 활용; 피부 증상을 설명하는 사용자 대상"
"45","pass","증상 기록","blog","체크리스트형","알레르기 의심","음식|환경|복용약","알레르기 의심 증상 기록: 음식·환경·복용약","99","pass","pass","14","새벽 약국 문의 전 준비할 증상·복용 정보","원인 기록; 알레르기 원인을 찾는 사용자 대상"
"46","pass","증상 기록","blog","체크리스트형","눈 충혈","렌즈|분비물|통증","눈 충혈 상담 전 렌즈·분비물·통증 확인","99","pass","pass","29","두통약 상담 전 통증 위치와 반복 여부 정리","안구 증상 구분; 눈 증상 사용자 대상"
"47","pass","증상 기록","blog","문제해결형","어지럼","혈압|복용약|반복","어지럼 증상일 때 약국에서 말할 정보","91","pass","pass","67","설사 증상일 때 약국에서 먼저 말할 정보","위험 신호 확인; 어지럼을 느끼는 사용자 대상"
"48","pass","증상 기록","blog","비교형","목 통증","열|기침|삼킴","목 통증 상담 전 열·기침·삼킴 통증 구분","99","pass","pass","33","벌레물림 약 고를 때 가려움·통증 구분 기준","동반 증상 구분; 목감기 의심 사용자 대상"
"49","pass","증상 기록","blog","체크리스트형","속 울렁거림","먹은 음식|복용약|시간","속 울렁거림 상담 전 먹은 음식과 복용약 기록","99","pass","pass","29","임산부 약국 상담 전 임신 주수와 복용약 정리","원인 단서; 메스꺼움 증상 사용자 대상"
"50","pass","증상 기록","blog","체크리스트형","근육통 상담","운동|부상|통증 부위","근육통 상담 전 운동·부상·통증 부위 정리","99","pass","pass","43","두통약 상담 전 통증 위치와 반복 여부 정리","원인 구분; 근육통 사용자 대상"
"51","pass","대상자별 상담","blog","FAQ형","초등학생 약","보호자|용량|학교","초등학생 약 복용 전 보호자가 확인할 질문","99","pass","pass","40","수유 중 약 복용 전 확인할 성분과 시간","학교 생활 고려; 초등학생 보호자 대상"
"52","pass","대상자별 상담","blog","정보형","청소년 감기약","시험|운동|졸림","청소년 감기약 상담 전 시험·운동 일정 확인","99","pass","pass","29","아이 감기약 상담 전 증상 기록하는 법","일정 기반 상담; 청소년과 보호자 대상"
"53","pass","대상자별 상담","blog","체크리스트형","직장인 약","업무 시간|졸림|운전","직장인 약 복용 전 업무 시간과 졸림 체크","99","pass","pass","50","멀미약 준비 전 복용 시간과 졸림 확인법","근무 중 주의; 직장인 대상"
"54","pass","대상자별 상담","blog","체크리스트형","고령 부모님 약","병원별 처방|중복|보호자","고령 부모님 약 상담 전 병원별 처방 정리","99","pass","pass","33","부모님 약 봉투 정리 전 확인할 복용 시간","처방 정리; 부모님 약을 관리하는 자녀 대상"
"55","pass","대상자별 상담","blog","정보형","임신 가능성 약국 상담","임신 가능성|복용약|상담","임신 가능성이 있을 때 약국 상담 전 말할 정보","99","pass","pass","43","임산부 약국 상담 전 임신 주수와 복용약 정리","민감 정보 전달; 임신 가능성이 있는 사용자 대상"
"56","pass","대상자별 상담","blog","체크리스트형","수유부 영양제","성분 목록|수유|상담","수유부가 영양제 상담 전 확인할 성분 목록","99","pass","pass","43","영양제 추천보다 먼저 확인할 성분·함량 기준","성분 확인; 수유부 대상"
"57","pass","대상자별 상담","blog","문제해결형","운동 진통제","부상|운동|통증","운동하는 사람이 진통제 상담 전 말할 부상 정보","99","pass","pass","29","혼자 사는 사람이 약국 정보 저장해둘 항목","부상 정보; 운동 후 통증 사용자 대상"
"58","pass","대상자별 상담","blog","정보형","야근 피로 영양제","야근|수면|카페인","야근하는 사람이 피로 영양제 상담 전 볼 기준","99","pass","pass","33","일반의약품과 전문의약품 차이, 약국 상담 기준","피로 상담; 야근이 잦은 사용자 대상"
"59","pass","대상자별 상담","blog","비교형","채식 영양제","성분|비타민B12|철분","채식 식단 사용자가 영양제 고를 때 보는 성분","99","pass","pass","29","이사 후 단골 약국을 고를 때 보는 기준","식단 기반 선택; 채식 식단 사용자 대상"
"60","pass","대상자별 상담","blog","체크리스트형","야외근무 약국","피부 보호|자외선|땀","반복 야외근무자가 약국에서 준비할 피부 보호품","91","pass","pass","67","자외선 강한 날 약국에서 준비할 피부 보호품","근무 환경 대비; 야외근무자 대상"
"61","pass","영양제 선택","blog","정보형","영양제 라벨","기능성|원료명|섭취량","영양제 라벨 읽는 순서: 기능성·원료명·섭취량","99","pass","pass","29","만성질환자가 약국에서 영양제 상담받는 순서","라벨 읽기; 영양제 구매자 대상"
"62","pass","영양제 선택","blog","비교형","비타민B군","피로|함량|표시","비타민B군 고를 때 피로 문구보다 봐야 할 함량","99","pass","pass","33","유산균 고를 때 균수보다 봐야 할 표시사항","함량 비교; 피로 영양제를 찾는 사용자 대상"
"63","pass","영양제 선택","blog","정보형","철분제","빈혈|진단|상담","철분제 상담 전 빈혈 진단 여부를 말해야 하는 이유","99","pass","pass","13","시험 기간 약국 상담 전 피로·수면 정보 정리","진단 여부; 철분제를 고민하는 사용자 대상"
