id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status,max_existing_similarity,nearest_existing_title,decision_reason
"1","pass","약국 상담 준비","blog","체크리스트형","약국 전화 문의","영업 여부|상담 가능|도착 시간","약국 전화 문의 영업 여부 확인 순서","97","pass","pass","43","주말 약국 찾기에서 놓치기 쉬운 전화 확인","신규 v4 장기 예약 캠페인"
"2","pass","약국 상담 준비","blog","문제해결형","약국 전화 문의","재고 확인|제품명|대체 선택","약국 전화 문의 제품명 실수 줄이는 법","97","pass","pass","43","약국 전화 문의 내역을 남겨야 하는 경우","신규 v4 장기 예약 캠페인"
"3","pass","약국 상담 준비","blog","FAQ형","약국 전화 문의","조제 가능|처방전|마감 시간","약국 전화 문의 마감 시간 상담 질문","97","pass","pass","43","숙취 약국 상담 전 증상별로 나누는 질문","신규 v4 장기 예약 캠페인"
"4","pass","약국 상담 준비","blog","정보형","약국 전화 문의","증상 설명|복용약|알레르기","약국 전화 문의 증상 설명·복용약 체크리스트","97","pass","pass","43","약국 상담 메모 작성법: 증상·복용약·알레르기","신규 v4 장기 예약 캠페인"
"5","pass","약국 상담 준비","blog","비교형","약국 전화 문의","위치 확인|건물 입구|주차","약국 전화 문의 건물 입구 기준과 주의점","97","pass","pass","43","약국 전화 문의 내역을 남겨야 하는 경우","신규 v4 장기 예약 캠페인"
"6","pass","약국 상담 준비","blog","체크리스트형","약국 전화 문의","통화 연결|대체 후보|거리","약국 전화 문의 거리 메모 작성법","97","pass","pass","43","약국 상담 메모 작성법: 증상·복용약·알레르기","신규 v4 장기 예약 캠페인"
"7","pass","약국 상담 준비","blog","문제해결형","약국 전화 문의","공휴일 운영|야간 시간|전화번호","약국 전화 문의 공휴일 운영 비교 기준","91","pass","pass","57","공휴일 약국 이용 전 지도와 목록 비교 기준","신규 v4 장기 예약 캠페인"
"8","pass","약국 상담 준비","blog","FAQ형","약국 전화 문의","어린이 약|나이|체중","약국 전화 문의 나이 전화 문의법","97","pass","pass","43","약국 전화 문의 내역을 남겨야 하는 경우","신규 v4 장기 예약 캠페인"
"9","pass","약국 상담 준비","blog","정보형","약국 전화 문의","고령자 상담|복용 목록|주의 신호","약국 전화 문의 주의 신호 FAQ","97","pass","pass","43","약국 전화 문의 내역을 남겨야 하는 경우","신규 v4 장기 예약 캠페인"
"10","pass","약국 상담 준비","blog","비교형","약국 전화 문의","문의 메모|확인 시각|방문 결정","약국 전화 문의 문의 메모 방문 전 점검","97","pass","pass","50","휴가철 약국 방문 전 챙길 증상 메모","신규 v4 장기 예약 캠페인"
"11","pass","복약 상담","blog","체크리스트형","복약 상담 질문지","현재 증상|복용약|상담 순서","복약 상담 질문지 현재 증상 확인 순서","97","pass","pass","29","약국 상담 메모 작성법: 증상·복용약·알레르기","신규 v4 장기 예약 캠페인"
"12","pass","복약 상담","blog","문제해결형","복약 상담 질문지","알레르기 이력|부작용 경험|제품 선택","복약 상담 질문지 부작용 경험 실수 줄이는 법","97","pass","pass","29","가족별 약통 색을 나눌 때 실수 줄이는 기준","신규 v4 장기 예약 캠페인"
"13","pass","복약 상담","blog","FAQ형","복약 상담 질문지","처방약|일반약|영양제","복약 상담 질문지 영양제 상담 질문","97","pass","pass","33","숙취 약국 상담 전 증상별로 나누는 질문","신규 v4 장기 예약 캠페인"
"14","pass","복약 상담","blog","정보형","복약 상담 질문지","복용 시간|식사 관계|주의 문구","복약 상담 질문지 복용 시간·식사 관계 체크리스트","97","pass","pass","25","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"15","pass","복약 상담","blog","비교형","복약 상담 질문지","대상자 나이|기저질환|생활 일정","복약 상담 질문지 기저질환 기준과 주의점","97","pass","pass","17","회사 비상약함 운영 전 약국 상담 포인트","신규 v4 장기 예약 캠페인"
"16","pass","복약 상담","blog","체크리스트형","복약 상담 질문지","증상 기간|반복 여부|진료 필요성","복약 상담 질문지 진료 필요성 메모 작성법","97","pass","pass","43","약국 상담 메모 작성법: 증상·복용약·알레르기","신규 v4 장기 예약 캠페인"
"17","pass","복약 상담","blog","문제해결형","복약 상담 질문지","약 봉투|성분명|중복 확인","복약 상담 질문지 약 봉투 비교 기준","97","pass","pass","33","근육통 약국 상담 전 파스와 먹는 약 비교","신규 v4 장기 예약 캠페인"
"18","pass","복약 상담","blog","FAQ형","복약 상담 질문지","임신 수유|민감 정보|상담 표현","복약 상담 질문지 민감 정보 전화 문의법","97","pass","pass","29","임신 가능성이 있을 때 약국 상담 전 말할 정보","신규 v4 장기 예약 캠페인"
"19","pass","복약 상담","blog","정보형","복약 상담 질문지","운전 일정|졸림 가능성|업무 시간","복약 상담 질문지 업무 시간 FAQ","97","pass","pass","17","회사 비상약함 운영 전 약국 상담 포인트","신규 v4 장기 예약 캠페인"
"20","pass","복약 상담","blog","비교형","복약 상담 질문지","상담 결과|메모 보관|다음 질문","복약 상담 질문지 상담 결과 방문 전 점검","97","pass","pass","29","처방전 준비와 약국 방문 전 점검 7가지 | 약국오늘","신규 v4 장기 예약 캠페인"
"21","pass","복용 관리","blog","체크리스트형","복용 시간 기록","아침 복용|저녁 복용|알림","복용 시간 기록 아침 복용 확인 순서","97","pass","pass","50","어린이 약 복용 전 체중과 연령 확인 순서","신규 v4 장기 예약 캠페인"
"22","pass","복용 관리","blog","문제해결형","복용 시간 기록","식전 식후|취침 시간|약 봉투","복용 시간 기록 취침 시간 실수 줄이는 법","97","pass","pass","33","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"23","pass","복용 관리","blog","FAQ형","복용 시간 기록","빠뜨린 약|기록표|상담 질문","복용 시간 기록 상담 질문 상담 질문","97","pass","pass","40","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"24","pass","복용 관리","blog","정보형","복용 시간 기록","교대근무|수면 시간|복용 간격","복용 시간 기록 교대근무·수면 시간 체크리스트","97","pass","pass","33","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"25","pass","복용 관리","blog","비교형","복용 시간 기록","외출 일정|휴대 약|물","복용 시간 기록 휴대 약 기준과 주의점","97","pass","pass","33","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"26","pass","복용 관리","blog","체크리스트형","복용 시간 기록","가족 확인|이름표|체크 표시","복용 시간 기록 체크 표시 메모 작성법","97","pass","pass","29","약국 상담 메모 작성법: 증상·복용약·알레르기","신규 v4 장기 예약 캠페인"
"27","pass","복용 관리","blog","문제해결형","복용 시간 기록","처방 변경|새 약|이전 약","복용 시간 기록 처방 변경 비교 기준","97","pass","pass","29","공휴일 약국 이용 전 지도와 목록 비교 기준","신규 v4 장기 예약 캠페인"
"28","pass","복용 관리","blog","FAQ형","복용 시간 기록","복용 후 증상|시간대|메모","복용 시간 기록 시간대 전화 문의법","97","pass","pass","33","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"29","pass","복용 관리","blog","정보형","복용 시간 기록","중복 복용|달력|분리 보관","복용 시간 기록 분리 보관 FAQ","97","pass","pass","33","수유 중 약 복용 전 확인할 성분과 시간","신규 v4 장기 예약 캠페인"
"30","pass","복용 관리","blog","비교형","복용 시간 기록","약사 상담|현재 일정|조정 기준","복용 시간 기록 약사 상담 방문 전 점검","97","pass","pass","29","처방전 준비와 약국 방문 전 점검 7가지 | 약국오늘","신규 v4 장기 예약 캠페인"
"31","pass","약 라벨 해석","blog","체크리스트형","약 봉투 확인","식전 식후|복용 횟수|복용 간격","약 봉투 확인 식전 식후 확인 순서","97","pass","pass","43","약 봉투에 적힌 식전·식후 문구 읽는 순서","신규 v4 장기 예약 캠페인"
